id_periodo;mes_nombre;mes;año
NULL;ene;1;2017
NULL;feb;2;2017
NULL;mar;3;2017
NULL;abr;4;2017
NULL;may;5;2017
NULL;jun;6;2017
NULL;jul;7;2017
NULL;ago;8;2017
NULL;sep;9;2017
NULL;oct;10;2017
NULL;nov;11;2017
NULL;dic;12;2017
NULL;ene;1;2018
NULL;feb;2;2018
NULL;mar;3;2018
NULL;abr;4;2018
NULL;may;5;2018
NULL;jun;6;2018
NULL;jul;7;2018
NULL;ago;8;2018
NULL;sep;9;2018
NULL;oct;10;2018
NULL;nov;11;2018
NULL;dic;12;2018
NULL;ene;1;2019
NULL;feb;2;2019
NULL;mar;3;2019
NULL;abr;4;2019
NULL;may;5;2019
NULL;jun;6;2019
NULL;jul;7;2019
NULL;ago;8;2019
NULL;sep;9;2019
NULL;oct;10;2019
NULL;nov;11;2019
NULL;dic;12;2019
NULL;ene;1;2020
NULL;feb;2;2020
NULL;mar;3;2020
NULL;abr;4;2020
NULL;may;5;2020
NULL;jun;6;2020
NULL;jul;7;2020
NULL;ago;8;2020
NULL;sep;9;2020
NULL;oct;10;2020
NULL;nov;11;2020
NULL;dic;12;2020
NULL;ene;1;2021
NULL;feb;2;2021
NULL;mar;3;2021
NULL;abr;4;2021
NULL;may;5;2021
NULL;jun;6;2021
NULL;jul;7;2021
NULL;ago;8;2021
NULL;sep;9;2021
NULL;oct;10;2021
NULL;nov;11;2021
NULL;dic;12;2021
NULL;ene;1;2022
NULL;feb;2;2022
NULL;mar;3;2022
NULL;abr;4;2022
NULL;may;5;2022
